iter	Passed	Remaining
605	33560	21819
606	33637	21778
607	33694	21723
608	33739	21661
609	33775	21594
610	33805	21522
611	33827	21446
612	33855	21373
613	33887	21304
614	33913	21230
615	33932	21152
616	33952	21076
617	33971	20998
618	33990	20921
619	34010	20845
620	34030	20768
621	34049	20692
622	34069	20616
623	34088	20540
624	34108	20464
625	34127	20389
626	34147	20313
627	34165	20238
628	34189	20165
629	34227	20101
630	34262	20036
631	34294	19968
632	34327	19902
633	34361	19836
634	34388	19766
635	34412	19694
636	34438	19625
637	34464	19554
638	34485	19482
639	34536	19426
640	34572	19362
641	34651	19322
642	34705	19268
643	34795	19234
644	34848	19180
645	34892	19120
646	34955	19071
647	35030	19028
648	35067	18965
649	35139	18921
650	35195	18868
651	35246	18812
652	35285	18750
653	35346	18700
654	35423	18658
655	35477	18603
656	35526	18547
657	35566	18485
658	35602	18422
659	35649	18364
660	35694	18306
661	35747	18251
662	35797	18195
663	35840	18136
664	35903	18086
665	35973	18040
666	36012	17979
667	36068	17926
668	36122	17872
669	36180	17820
670	36241	17769
671	36297	17716
672	36332	17653
673	36379	17595
674	36428	17539
675	36491	17489
676	36552	17439
677	36613	17388
678	36705	17352
679	36741	17290
680	36817	17246
681	36871	17192
682	36926	17138
683	36972	17080
684	37035	17031
685	37085	16974
686	37158	16929
687	37222	16879
688	37268	16822
689	37316	16765
690	37403	16726
691	37492	16687
692	37582	16648
693	37636	16594
694	37714	16550
695	37807	16513
696	37870	16463
697	37942	16416
698	38004	16365
699	38060	16311
700	38146	16270
701	38211	16220
702	38296	16179
703	38364	16130
704	38456	16091
705	38514	16038
706	38604	15998
707	38691	15957
708	38765	15910
709	38824	15857
710	38919	15819
711	39002	15776
712	39069	15726
713	39145	15679
714	39204	15626
715	39276	15579
716	39331	15524
717	39435	15488
718	39503	15438
719	39574	15389
720	39605	15325
721	39658	15270
722	39698	15209
723	39792	15169
724	39831	15108
725	39912	15063
726	40013	15025
727	40094	14980
728	40194	14942
729	40262	14891
730	40319	14837
731	40386	14786
732	40488	14748
733	40561	14699
734	40637	14651
735	40736	14612
736	40811	14563
737	40898	14519
738	40956	14465
739	41032	14416
740	41097	14364
741	41163	14312
742	41244	14266
743	41301	14211
744	41357	14155
745	41415	14101
746	41466	14044
747	41577	14007
748	41618	13946
749	41669	13889
750	41734	13837
751	41797	13784
752	41841	13725
753	41951	13687
754	42065	13650
755	42127	13596
756	42190	13543
757	42235	13484
758	42310	13434
759	42366	13378
760	42430	13325
761	42469	13264
762	42534	13211
763	42593	13157
764	42658	13104
765	42714	13048
766	42782	12996
767	42831	12938
768	42992	12914
769	43089	12870
770	43162	12820
771	43245	12772
772	43325	12723
773	43372	12664
774	43491	12626
775	43557	12573
776	43612	12516
777	43671	12461
778	43724	12404
779	43760	12342
780	43788	12278
781	43823	12216
782	43871	12158
783	43921	12100
784	43959	12039
785	44021	11985
786	44102	11936
787	44166	11882
788	44223	11826
789	44275	11769
790	44432	11740
791	44543	11698
792	44624	11648
793	44671	11589
794	44756	11541
795	44875	11500
796	44941	11446
797	45023	11396
798	45102	11346
799	45178	11294
800	45247	11241
801	45291	11181
802	45347	11125
803	45440	11077
804	45499	11021
805	45544	10962
806	45603	10906
807	45680	10854
808	45757	10802
809	45847	10754
810	45918	10701
811	46006	10651
812	46146	10614
813	46268	10572
814	46381	10528
815	46478	10480
816	46569	10431
817	46676	10385
818	46740	10329
819	46893	10293
820	46962	10239
821	47053	10189
822	47144	10139
823	47224	10086
824	47293	10032
825	47358	9976
826	47477	9931
827	47559	9879
828	47654	9829
829	47739	9777
830	47796	9720
831	47862	9664
832	47962	9615
833	48042	9562
834	48140	9512
835	48192	9454
836	48290	9404
837	48431	9362
838	48505	9307
839	48558	9249
840	48620	9192
841	48685	9135
842	48797	9088
843	48862	9031
844	48966	8982
845	49059	8930
846	49133	8875
847	49216	8821
848	49313	8770
849	49363	8711
850	49444	8657
851	49504	8599
852	49579	8544
853	49675	8492
854	49806	8446
855	49886	8392
856	49963	8336
857	50066	8286
858	50141	8230
859	50225	8176
860	50313	8122
861	50383	8066
862	50485	8014
863	50516	7951
864	50599	7897
865	50693	7844
866	50757	7786
867	50874	7736
868	50935	7678
869	51030	7625
870	51117	7570
871	51221	7518
872	51329	7467
873	51411	7411
874	51460	7351
875	51566	7299
876	51641	7242
877	51693	7182
878	51750	7123
879	51846	7069
880	51936	7015
881	52027	6960
882	52085	6901
883	52166	6845
884	52295	6795
885	52396	6741
886	52515	6690
887	52619	6636
888	52689	6578
889	52719	6515
890	52785	6457
891	52882	6402
892	52946	6344
893	53031	6287
894	53098	6229
895	53182	6173
896	53259	6115
897	53322	6056
898	53401	5999
899	53477	5941
900	53551	5884
901	53617	5825
902	53691	5767
903	53742	5707
904	53783	5645
905	53852	5587
906	53926	5529
907	54017	5473
908	54078	5413
909	54152	5355
910	54222	5297
911	54287	5238
912	54333	5177
913	54405	5119
914	54441	5057
915	54479	4995
916	54514	4934
917	54546	4872
918	54575	4810
919	54598	4747
920	54618	4684
921	54643	4622
922	54666	4560
923	54691	4498
924	54718	4436
925	54741	4374
926	54794	4315
927	54847	4255
928	54889	4194
