iter	Passed	Remaining
603	13382	8773
604	13405	8752
605	13427	8729
606	13449	8708
607	13472	8686
608	13494	8663
609	13515	8641
610	13538	8619
611	13565	8600
612	13588	8578
613	13615	8559
614	13644	8541
615	13670	8522
616	13709	8510
617	13758	8504
618	13791	8488
619	13823	8472
620	13848	8451
621	13877	8433
622	13899	8411
623	13927	8392
624	13958	8375
625	13985	8355
626	14008	8333
627	14030	8311
628	14053	8289
629	14073	8265
630	14095	8243
631	14119	8221
632	14141	8199
633	14164	8177
634	14192	8157
635	14217	8137
636	14244	8117
637	14269	8096
638	14294	8075
639	14317	8053
640	14340	8031
641	14363	8009
642	14387	7987
643	14407	7964
644	14432	7943
645	14455	7921
646	14477	7899
647	14500	7876
648	14523	7854
649	14553	7836
650	14578	7815
651	14601	7793
652	14623	7770
653	14648	7749
654	14677	7730
655	14702	7709
656	14726	7688
657	14753	7668
658	14778	7647
659	14800	7624
660	14822	7601
661	14845	7579
662	14871	7558
663	14898	7539
664	14931	7522
665	14963	7504
666	14989	7483
667	15015	7462
668	15042	7442
669	15066	7420
670	15089	7398
671	15111	7375
672	15135	7353
673	15156	7331
674	15180	7308
675	15204	7287
676	15229	7266
677	15251	7243
678	15279	7223
679	15301	7200
680	15325	7178
681	15348	7156
682	15372	7134
683	15396	7112
684	15418	7090
685	15442	7068
686	15465	7046
687	15486	7022
688	15509	7000
689	15532	6978
690	15552	6954
691	15575	6932
692	15598	6910
693	15617	6886
694	15643	6864
695	15671	6844
696	15693	6822
697	15713	6798
698	15735	6775
699	15757	6753
700	15780	6730
701	15807	6710
702	15829	6687
703	15851	6664
704	15872	6641
705	15897	6620
706	15925	6599
707	15954	6580
708	15976	6557
709	15997	6534
710	16022	6512
711	16047	6491
712	16084	6474
713	16111	6453
714	16137	6432
715	16165	6411
716	16190	6390
717	16214	6368
718	16238	6346
719	16263	6324
720	16286	6302
721	16308	6279
722	16334	6258
723	16360	6237
724	16386	6215
725	16408	6192
726	16429	6169
727	16452	6147
728	16482	6127
729	16505	6104
730	16528	6082
731	16550	6059
732	16572	6036
733	16592	6012
734	16615	5990
735	16635	5967
736	16667	5947
737	16689	5924
738	16712	5902
739	16735	5880
740	16760	5858
741	16780	5834
742	16803	5812
743	16826	5789
744	16850	5767
745	16875	5745
746	16904	5725
747	16933	5704
748	16956	5682
749	16978	5659
750	16998	5636
751	17020	5613
752	17044	5590
753	17065	5567
754	17086	5544
755	17109	5521
756	17131	5499
757	17156	5477
758	17177	5454
759	17198	5431
760	17219	5408
761	17243	5385
762	17267	5363
763	17290	5341
764	17314	5318
765	17338	5296
766	17365	5275
767	17396	5255
768	17422	5233
769	17446	5211
770	17470	5188
771	17491	5166
772	17515	5143
773	17538	5120
774	17558	5097
775	17580	5074
776	17601	5051
777	17624	5029
778	17658	5009
779	17680	4986
780	17704	4964
781	17725	4941
782	17747	4918
783	17771	4896
784	17793	4873
785	17815	4850
786	17838	4828
787	17860	4805
788	17885	4782
789	17917	4763
790	17944	4741
791	17968	4718
792	17989	4695
793	18014	4673
794	18036	4650
795	18059	4628
796	18080	4605
797	18102	4582
798	18126	4559
799	18149	4537
800	18170	4514
801	18195	4492
802	18216	4469
803	18240	4446
804	18261	4423
805	18284	4400
806	18307	4378
807	18329	4355
808	18351	4332
809	18376	4310
810	18398	4287
811	18419	4264
812	18447	4243
813	18473	4221
814	18500	4199
815	18528	4178
816	18552	4155
817	18576	4133
818	18600	4110
819	18626	4088
820	18654	4067
821	18679	4045
822	18700	4021
823	18723	3999
824	18746	3976
825	18768	3953
826	18791	3931
827	18813	3908
